Bx By Bz
12.34 37 -35.14
11.49 40.34 -47.23
11.6 40.02 -46.5
11.71 39.6 -44.86
12.25 38.48 -44.16
12.74 36.1 -37.92
13.09 35.03 -36.27
12.92 35.01 -36.43
12.92 34.95 -36.22
13.01 35.15 -36.47
12.89 35.29 -37.22
12.95 35.65 -37.15
12.91 35.63 -37.43
12.95 35.43 -37.18
12.8 35.78 -37.46
12.72 36.46 -38.75
12.7 36.37 -39.3
12.34 36.57 -40.59
12.81 35.74 -37.85
12.6 37.07 -40.72
12.46 36.19 -39.2
12.12 37.48 -42.56
12.78 35.95 -38.21
12.81 35.58 -37.89
12.7 35.88 -38.48
12.66 36.23 -38.84
12.65 35.78 -38.12
12.72 35.31 -36.81
12.84 35.63 -37.48
12.86 35.66 -37.35
12.9 35.24 -36.47
12.85 35.65 -37.22
11.07 42.87 -52.29
11.73 39.65 -46.83
11.3 38.42 -45.27
11.33 38.84 -46.08
11.69 39.27 -46.11
11.55 39.53 -46.75
11.73 38.75 -45.09
11.74 38.62 -44.92
11.59 39.68 -47.42
11.46 41.79 -50.95
11.76 39.02 -45.74
12.08 38.21 -44.38
11.9 38.73 -45.18
11.9 39.22 -46.03
11.96 38.68 -45.48
12.05 38.38 -44.38
11.43 41.42 -50.64
11.08 41.9 -51.83
11.53 41.29 -49.92
10.51 46.12 -60.19
11.71 39.89 -46.97
11.94 38.46 -44.64
11.02 40.85 -49.66
11.1 39.62 -47.02
10.61 43.47 -55.34
11.3 42.94 -52.89
10.98 42.75 -52.48
11.16 42.09 -51.84
11.24 42.09 -51.64
11.96 38.57 -44.59
10.88 44.04 -55.67
11.23 41.27 -49.8
10.92 44.02 -55.96
11.1 42.37 -52.53
11.42 41.35 -49.96
10.32 45.69 -59.33
10.31 46.42 -60.89
10.32 46.97 -62.31
10.32 46.28 -60.56
10.16 46.86 -61.48
10.22 46.77 -61.42
10.23 45.82 -59.89
9.99 47.77 -63.51
10.18 46.85 -61.46
10.11 46.78 -62.21
10.11 46.83 -61.89
10.46 45.95 -58.64
10.2 46.55 -61.47
10.66 44.19 -56.03
